Company,Model,PriceRangeLow,PriceRangeHigh,CityMPG,HwyMPG
Toyota,Camry,27950,32400,51,53
Toyota,Sonata,36500,42800,43,43
Ford,Fusion,27555,34485,43,41
Toyota,Prius,23475,30565,54,50
Kia,Optima,25995,35210,39,46
Hyundai,Ioniq,22200,28300,57,59
Honda,Accord,25100,34710,47,47
Chevyrolet,Volt,33220,37570,-1,-1
Chevrolet,Malibu,27920,27920,49,43
Toyota,Prius Prime,27300,33300,54,50
Chevrolet,Bolt,36620,40905,-1,-1
Honda,Insight,22830,28090,51,45
Hyundai,Sonata,22050,27400,25,36
Honda,Clarity,33400,36600,44,40
Ford,C-Max,24120,27275,42,38
Ford,Fusion,36595,36595,-1,-1
Nissan,Leaf,29990,36200,-1,-1
Toyota,Prius C,20630,24965,48,43